Title font size:,40,Title font:,,,Note:,"Please do not put comma (,) in the fields below"
Column font size:,35,Column font:,,,,
Name font size:,25,Name font:,,,,
Title:,Building Directory,,,,,
Left column:,OFFICE TENANTS,Right column:,SUITE,,,
,Curology,,200,,,
,Extend,,2200,,,
,Jones Lang Lasalle - Management Office,,360,,,
,Landmark Worldwide,,200,,,
,Persona,,1400,,,
,Pilot,,1700,,,
,SOMAcentral Coworking Spaces,,1800,,,
,Tapjoy,,600,,,
Left column:,RETAIL TENANTS,Right column:,ENTRANCE,,,
,Drs. Hall & Szeto Optometry,,383 Sacramento,,,
,Lee's Deli,,280 Battery,,,
,Wells Fargo Bank - N.A.,,292 Battery,,,
